"Path","Title","Platform","Url","Tags","Status","NeedReview","Mistake","Note"
"A组队赛/4.22第四场/E. Multiply.cpp","E. Multiply","A组队赛","","","","","",""
"A组队赛/4.22第四场/F. The Answer to the Ultimate Question of Life, The Universe, and Everything..cpp","F. The Answer to the Ultimate Question of Life, The Universe, and Everything.","A组队赛","","","","","",""
"A组队赛/4.22第四场/M. Kill the tree.cpp","M. Kill the tree","A组队赛","","","","","",""
"CodeForces/106570/D. 那一天的回文字符串.cpp","D. 那一天的回文字符串","CodeForces","https://codeforces.com/gym/106570/problem/D","","","","",""
"CodeForces/1703/G. Good Key, Bad Key.cpp","G. Good Key, Bad Key","CodeForces","https://codeforces.com/contest/1703/problem/G","","","","",""
"CodeForces/1833/D.cpp","D","CodeForces","https://codeforces.com/contest/1833/problem/D","","","","",""
"CodeForces/1846/A.cpp","A","CodeForces","https://codeforces.com/contest/1846/problem/A","","","","",""
"CodeForces/1846/B.cpp","B","CodeForces","https://codeforces.com/contest/1846/problem/B","","","","",""
"CodeForces/1846/C.cpp","C","CodeForces","https://codeforces.com/contest/1846/problem/C","","","","",""
"CodeForces/1846/D.cpp","D","CodeForces","https://codeforces.com/contest/1846/problem/D","","","","",""
"CodeForces/1846/E.cpp","E","CodeForces","https://codeforces.com/contest/1846/problem/E","","","","",""
"CodeForces/1846/G.cpp","G","CodeForces","https://codeforces.com/contest/1846/problem/G","","","","",""
"CodeForces/1935/A.cpp","A","CodeForces","https://codeforces.com/contest/1935/problem/A","","","","",""
"CodeForces/1935/B.cpp","B","CodeForces","https://codeforces.com/contest/1935/problem/B","","","","",""
"CodeForces/1935/C.cpp","C","CodeForces","https://codeforces.com/contest/1935/problem/C","","","","",""
"CodeForces/1935/D.cpp","D","CodeForces","https://codeforces.com/contest/1935/problem/D","","","","",""
"CodeForces/1966/A. Card Exchange.cpp","A. Card Exchange","CodeForces","https://codeforces.com/contest/1966/problem/A","","","","",""
"CodeForces/1966/B. Rectangle Filling.cpp","B. Rectangle Filling","CodeForces","https://codeforces.com/contest/1966/problem/B","","","","",""
"CodeForces/1966/C. Everything Nim.cpp","C. Everything Nim","CodeForces","https://codeforces.com/contest/1966/problem/C","","","","",""
"CodeForces/1972/A. Contest Proposal.cpp","A. Contest Proposal","CodeForces","https://codeforces.com/contest/1972/problem/A","","","","",""
"CodeForces/1972/B. Coin Games.cpp","B. Coin Games","CodeForces","https://codeforces.com/contest/1972/problem/B","","","","",""
"CodeForces/1972/C. Permutation Counting.cpp","C. Permutation Counting","CodeForces","https://codeforces.com/contest/1972/problem/C","","","","",""
"CodeForces/1972/D1. Reverse Card (Easy Version).cpp","D1. Reverse Card (Easy Version)","CodeForces","https://codeforces.com/contest/1972/problem/D1","","","","",""
"CodeForces/1977/A. Little Nikita.cpp","A. Little Nikita","CodeForces","https://codeforces.com/contest/1977/problem/A","","","","",""
"CodeForces/1977/B. Binary Colouring.cpp","B. Binary Colouring","CodeForces","https://codeforces.com/contest/1977/problem/B","","","","",""
"CodeForces/1977/C. Nikita and LCM.cpp","C. Nikita and LCM","CodeForces","https://codeforces.com/contest/1977/problem/C","","","","",""
"CodeForces/1977/D. XORificator.cpp","D. XORificator","CodeForces","https://codeforces.com/contest/1977/problem/D","","","","",""
"CodeForces/1981/A.cpp","A","CodeForces","https://codeforces.com/contest/1981/problem/A","","","","",""
"CodeForces/1981/B.cpp","B","CodeForces","https://codeforces.com/contest/1981/problem/B","","","","",""
"CodeForces/1981/C.cpp","C","CodeForces","https://codeforces.com/contest/1981/problem/C","","","","",""
"CodeForces/1982/A. Soccer.cpp","A. Soccer","CodeForces","https://codeforces.com/contest/1982/problem/A","","","","",""
"CodeForces/1982/B. Collatz Conjecture.cpp","B. Collatz Conjecture","CodeForces","https://codeforces.com/contest/1982/problem/B","","","","",""
"CodeForces/1982/C. Boring Day.cpp","C. Boring Day","CodeForces","https://codeforces.com/contest/1982/problem/C","","","","",""
"CodeForces/1982/D. Beauty of the mountains  .cpp","D. Beauty of the mountains  ","CodeForces","https://codeforces.com/contest/1982/problem/D","","","","",""
"CodeForces/1983/B.cpp","B","CodeForces","https://codeforces.com/contest/1983/problem/B","","","","",""
"CodeForces/1983/C.cpp","C","CodeForces","https://codeforces.com/contest/1983/problem/C","","","","",""
"CodeForces/1983/D.cpp","D","CodeForces","https://codeforces.com/contest/1983/problem/D","","","","",""
"CodeForces/1983/E. I Love Balls.cpp","E. I Love Balls","CodeForces","https://codeforces.com/contest/1983/problem/E","","","","",""
